fish,stage,day,plotday,trial,EST,distance,yds,circular_mean_degrees
fish14,Baseline,13,13,6,2,5.707834135,-14.09303118,-18.37275502
fish14,Baseline,14,14,6,4,3.155440808,1.891980412,1.982667279
fish14,Baseline,15,15,6,3,3.213178296,-8.307600488,-12.57382242
fish14,Baseline,16,16,6,4,2.538576526,-7.267511797,-20.82747553
fish14,Baseline,17,17,6,5,2.604687811,-5.854684884,-5.79126247
fish14,Rotation,1,18,6,2,4.894588358,0.763683321,-0.79283708
fish14,Rotation,2,19,6,3,3.545388685,-5.475437274,-6.482576586
fish14,Rotation,3,20,6,3,2.98233047,-6.597643077,-15.48694677
fish14,Rotation,4,21,6,1,3.633239023,-10.22903129,-17.97319491
fish14,Rotation,5,22,6,5,2.883106927,1.694065096,0.435618895
fish14,Rotation,6,23,6,5,2.362804751,-2.188223054,1.306972564
fish14,Rotation,7,24,6,2,3.615581856,-19.67938577,-37.48929127
fish14,Rotation,8,25,6,3,3.736257105,7.354628105,6.440373275
fish14,Rotation,9,26,6,2,3.712231419,-12.12468895,-13.23782968
fish14,Rotation,10,27,6,3,4.187952264,-5.858083415,0.340773262
fish14,Rotation,11,28,6,3,4.221120496,-11.42454947,-9.939614293
fish14,Rotation,12,29,6,3,3.598440272,-6.85879022,-16.09152012
fish14,Rotation,13,30,6,4,2.626014268,-4.471699487,-17.73100959
fish14,Rotation,14,31,6,3,5.261013778,2.718960015,0.908660038
fish14,Rotation,15,32,6,4,3.179494665,2.805950031,7.136115028
fish14,Washout,1,33,6,3,2.721190446,-8.487649536,-20.62032646
fish14,Washout,2,34,6,2,2.558798904,-9.024322971,-9.050183559
fish14,Washout,3,35,6,1,4.740459729,-9.790739898,-7.307940805
fish14,Washout,4,36,6,4,2.952797733,-6.991727981,-7.910962013
fish14,Washout,5,37,6,6,2.481587711,-5.000365906,-4.878591138
fish14,Washout,6,38,6,4,2.334158695,-6.566268924,-6.21929898
fish14,Washout,7,39,6,5,2.382515782,-3.61462453,-1.94493879
fish14,Washout,8,40,6,3,3.025790589,-4.895642784,-3.946589497
fish14,Washout,9,41,6,4,3.243190403,-5.566047614,-9.835848728
