fish,stage,day,mean_y,median_y,std_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_σ_μ_y,median_σ_μ_y,mean_σ_μ_hdi_3,median_σ_μ_hdi_3,mean_σ_μ_hdi_97,median_σ_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday,μ_hdi_3_gamma_medians,μ_hdi_97_gamma_medians,μ_hdi_3_gamma_means,μ_hdi_97_gamma_means,y_gamma_means,y_gamma_medians
14,Rotation,6.0,2.5686114578333332,2.3628047509999996,0.5958599134978209,3.161,3.161,2.523,2.523,3.7900000000000005,3.79,3.094,3.094,2.504,2.504,3.734,3.734,5.016,5.011,0.39233333333333337,0.371,10.590333333333334,10.5945,23,3.564384579509979,5.337657184469692,3.564384579509979,5.337657184469692,2.6564031986637273,2.457473690387536
14,Rotation,7.0,7.2100876045,4.529442569,6.090074303885215,3.173,3.173,2.577,2.577,3.781,3.781,3.032,3.032,2.459,2.459,3.632,3.632,4.978833333333333,4.9885,0.4256666666666667,0.41500000000000004,10.471,10.494,24,3.580959790303561,5.268580046104633,3.580959790303561,5.268580046104633,9.549756185858596,7.39884551393807
14,Rotation,8.0,4.228055617,3.736257105,1.6911716380417134,3.183,3.183,2.588,2.588,3.7769999999999997,3.777,2.9760000000000004,2.976,2.419,2.419,3.5589999999999997,3.559,4.977,4.9575,0.41500000000000004,0.3775,10.324,10.3795,25,3.5658734432056143,5.22133823044204,3.5658734432056143,5.221338230442039,4.625040791689656,4.1727976993001175
14,Rotation,9.0,4.998664259166667,3.974929534,2.743841684820172,3.193,3.193,2.57,2.57,3.763,3.763,2.926,2.926,2.376,2.376,3.483,3.483,4.922,4.918,0.5508333333333334,0.526,10.3215,10.3475,26,3.5253879926776843,5.164308325561067,3.5253879926776843,5.164308325561067,5.811794628549396,4.916534817586056
14,Rotation,10.0,5.237516267666667,4.403235828,3.466094072675088,3.202,3.202,2.579,2.579,3.7930000000000006,3.793,2.8800000000000003,2.88,2.345,2.345,3.437,3.437,4.9334999999999996,4.923,0.46950000000000003,0.4535,10.247833333333334,10.2655,27,3.514252247057979,5.161439816433156,3.514252247057979,5.161439816433158,6.397000469470805,5.6855865026036785
14,Rotation,11.0,5.668058396,4.644130728,3.470608004091603,3.211,3.211,2.608,2.608,3.858,3.858,2.8379999999999996,2.838,2.302,2.302,3.381,3.381,4.892333333333333,4.8895,0.5576666666666666,0.5395000000000001,10.256166666666667,10.2645,28,3.512583062246881,5.181764732794151,3.512583062246881,5.181764732794151,6.773782549737295,5.89148397270887
14,Rotation,12.0,4.543085887833334,4.010684862,2.4188768459089873,3.219,3.219,2.543,2.543,3.831,3.831,2.799,2.799,2.266,2.266,3.3540000000000005,3.354,4.852833333333334,4.8575,0.6028333333333333,0.5725,10.087,10.115,29,3.437694767881178,5.14352998773147,3.437694767881178,5.143529987731466,5.245038757546597,4.773840240275369
14,Rotation,13.0,5.403720083166667,2.626014268,4.846498640136281,3.2260000000000004,3.226,2.534,2.534,3.865,3.865,2.764,2.764,2.237,2.237,3.33,3.33,4.849833333333334,4.855,0.5451666666666667,0.563,9.9565,9.971499999999999,30,3.4131039913652272,5.15751354800992,3.4131039913652272,5.15751354800992,7.323516717951555,5.150126480259353
14,Rotation,14.0,6.5893574705,5.9807465875000005,4.562036026932341,3.233,3.233,2.553,2.553,3.9339999999999997,3.934,2.73,2.73,2.205,2.205,3.3089999999999997,3.309,4.811833333333333,4.8115000000000006,0.507,0.5015000000000001,9.804166666666667,9.810500000000001,31,3.4099302099350455,5.20246446811909,3.4099302099350455,5.2024644681190875,8.157682244392616,7.639412259170994
14,Rotation,15.0,3.6377900558333334,3.1794946655,1.6674018541704079,3.24,3.24,2.533,2.533,3.969,3.969,2.7000000000000006,2.7,2.16,2.16,3.27,3.27,4.749333333333333,4.752,0.5521666666666666,0.571,9.668999999999999,9.596,32,3.366940455836799,5.208909554448852,3.366940455836799,5.208909554448852,4.072247225632681,3.658296063248699
14,Rotation,16.0,2.591057766,2.591057766,,3.096,3.096,1.756,1.756,4.682,4.682,3.419,3.419,1.772,1.772,5.5,5.5,5.207,5.207,0.249,0.249,11.739,11.739,33,2.498609907989548,7.14275965857399,2.498609907989548,7.14275965857399,,
14,Washout,1.0,4.729880169,2.982044179,3.23531230434262,3.0716666666666668,3.096,1.8088333333333333,1.756,4.547666666666667,4.682,3.2754999999999996,3.419,1.7501666666666666,1.772,5.163,5.5,5.2,5.327500000000001,0.2828333333333333,0.2815,11.511166666666666,11.855,34,2.498609907989548,7.14275965857399,2.5281167837640965,6.825524010084058,5.834090245226885,4.382231899696397
14,Washout,2.0,3.7025297236666668,2.5587989035,2.350402889743614,2.9339999999999997,2.95,2.1045,2.073,3.8046666666666664,3.876,2.467,2.558,1.6171666666666666,1.641,3.3221666666666665,3.478,4.359166666666666,4.444,0.44849999999999995,0.4415,8.955833333333333,9.1715,35,2.681989105321132,5.254039968233748,2.694895020614719,5.10299534511492,4.468733330319486,3.5009096318965116
14,Washout,3.0,4.999502332166666,3.7886967425,3.637863721314575,2.8433333333333337,2.854,2.2775,2.262,3.4095,3.448,1.9523333333333335,2.012,1.4571666666666667,1.498,2.4605,2.543,3.8571666666666666,3.9005,0.6418333333333334,0.632,7.520333333333333,7.717499999999999,36,2.7633290075252077,4.355130208952122,2.7548627657317164,4.276265096969786,6.287162489968127,5.278381282215245
14,Washout,4.0,4.060986564666667,3.2657238945,2.031075465472026,2.7825,2.79,2.3635,2.355,3.1975000000000002,3.217,1.6135,1.654,1.2221666666666666,1.253,2.0006666666666666,2.048,3.5301666666666667,3.5715000000000003,0.8448333333333333,0.874,6.525166666666666,6.602,37,2.7184422783741358,3.88581783800408,2.7110076234720184,3.843765468761488,4.624999848577601,3.919304591979527
14,Washout,5.0,2.643356561833333,2.33516886,0.695687814614399,2.739666666666667,2.745,2.4021666666666666,2.406,3.0863333333333336,3.1,1.3826666666666665,1.411,1.0418333333333334,1.068,1.7296666666666667,1.764,3.3183333333333334,3.342,0.9976666666666666,0.983,5.903833333333334,5.987500000000001,38,2.677667180919327,3.6356277185883834,2.6625525095382074,3.60618571528913,2.7581772596349294,2.4631608631676474
14,Washout,6.0,2.3519350126666665,2.3178040075,0.2214335341228581,2.7091666666666665,2.713,2.3796666666666666,2.383,3.014666666666667,3.018,1.2208333333333334,1.241,0.895,0.911,1.5353333333333332,1.558,3.1783333333333332,3.1875,1.056,1.0875,5.508500000000001,5.532,39,2.5893035971236005,3.4604762818137624,2.5797097039187524,3.4465515887254066,2.365716090674152,2.331784544939526
14,Washout,7.0,2.814988334666667,2.7541202399999998,0.5336907257852177,2.6871666666666667,2.69,2.3595,2.363,2.999,2.998,1.1053333333333335,1.12,0.8018333333333333,0.815,1.4053333333333333,1.422,3.0875000000000004,3.09,1.0938333333333332,1.1055,5.139166666666667,5.1405,40,2.532722532920052,3.378004491035748,2.5244409812510686,3.3712185159895487,2.8802440316364124,2.8207244225922965
14,Washout,8.0,3.105655933,2.7301140139999998,1.205761231941042,2.671,2.673,2.3346666666666667,2.342,3.003,3.004,1.0211666666666666,1.032,0.7273333333333333,0.736,1.314,1.322,3.0323333333333333,3.0389999999999997,1.2451666666666668,1.255,5.0378333333333325,5.0485,41,2.483751604458719,3.338091874926079,2.4737134152061584,3.3336282248631512,3.382100051767746,3.035654283945162
