fish,stage,day,plotday,trial,EST,yds,distance
fish10,Rotation,9,34,6,0.0,-115.7916471,17.79453579
fish10,Rotation,10,35,1,0.748243484,5.325795353,6.451107672
fish10,Rotation,10,35,2,0.769272003,-5.053970824,2.482114366
fish10,Rotation,10,35,3,0.481739197,-8.28086487,2.946495839
fish10,Rotation,10,35,4,0.0,-13.79249741,4.560032007
fish10,Rotation,10,35,5,0.0,-12.91129728,5.580062107
fish10,Rotation,10,35,6,0.0,26.24676356,10.37854073
fish10,Rotation,11,36,1,1.0,2.290672603,4.830080554
fish10,Rotation,11,36,2,0.958566818,3.219860686,3.592421009
fish10,Rotation,11,36,3,1.0,1.768733122,4.749139279
fish10,Rotation,11,36,4,1.0,2.62677977,2.248376584
fish10,Rotation,11,36,5,0.0,33.64147735,10.69050485
fish10,Rotation,11,36,6,0.943031464,3.294848981,2.677530261
fish10,Rotation,12,37,1,0.736885223,5.593137142,4.801970169
fish10,Rotation,12,37,2,0.696745071,6.321541921,9.558762982
fish10,Rotation,12,37,3,0.221977386,11.00922304,3.410887388
fish10,Rotation,12,37,4,0.236072693,-10.55380945,2.77229792
fish10,Rotation,12,37,5,0.0,-15.12872901,7.293483988
fish10,Rotation,12,37,6,0.0,15.38601481,4.211695278
fish10,Rotation,13,38,1,0.432777557,-8.880225534,4.580826223
fish10,Rotation,13,38,2,0.760250244,-5.437440993,2.801273111
fish10,Rotation,13,38,3,0.410642776,-8.892027576,3.095604507
fish10,Rotation,13,38,4,0.991468582,-2.97449466,2.254179833
fish10,Rotation,13,38,5,0.0,19.36963679,9.424008757
fish10,Rotation,13,38,6,0.688715134,6.29115805,2.38731832
fish10,Rotation,14,39,1,0.64758316,-7.069376943,4.592922066
fish10,Rotation,14,39,2,0.880899582,4.408290021,9.530112771
fish10,Rotation,14,39,3,0.0,-28.0282549,11.17988558
fish10,Rotation,14,39,4,1.0,0.198380565,2.258988687
fish10,Rotation,14,39,5,1.0,-2.210653395,5.413393864
fish10,Rotation,14,39,6,0.513315353,-7.997607837,4.34940433
fish10,Rotation,15,40,1,1.0,2.173809495,2.550975479
fish10,Rotation,15,40,2,0.783567581,4.975299771,2.510210515
fish10,Rotation,15,40,3,0.79800621,-4.902947012,2.649552495
fish10,Rotation,15,40,4,0.651931915,5.957888086,8.248636927
fish10,Rotation,15,40,5,0.0,20.29012026,9.323216932
fish10,Rotation,15,40,6,0.649719391,5.996097985,2.954829901
fish10,Washout,1,41,1,0.62099472,-7.249333735,2.284984086
fish10,Washout,1,41,2,0.483131561,-8.904761506,3.561491102
fish10,Washout,1,41,3,0.941801224,-3.50889196,2.347808446
fish10,Washout,1,41,4,0.0,97.29723024,6.328781242
fish10,Washout,1,41,5,0.0,-20.49935376,10.48705205
fish10,Washout,1,41,6,0.0,128.5752212,8.301502838
fish10,Washout,2,42,1,0.173492584,-11.23881427,3.239394678
fish10,Washout,2,42,2,0.0,-28.05648851,5.90610115
fish10,Washout,2,42,3,0.956621323,-3.379569983,2.384862193
fish10,Washout,2,42,4,1.0,-0.009707573,2.25138673
fish10,Washout,2,42,5,1.0,-0.744717797,2.351123678
fish10,Washout,2,42,6,0.0,-19.9165267,6.801557133
fish10,Washout,3,43,1,1.0,-1.465209533,2.907476333
fish10,Washout,3,43,2,0.93885437,-3.518322755,2.273569892
fish10,Washout,3,43,3,0.928316269,-3.621172722,5.872936931
fish10,Washout,3,43,4,1.0,-1.599450564,2.268600687
fish10,Washout,3,43,5,0.0,-22.61666363,7.034901207
fish10,Washout,3,43,6,1.0,-2.298539288,2.369915552
fish10,Washout,4,44,1,1.0,0.019900332,2.294344419
fish10,Washout,4,44,2,0.0,-19.52266737,5.451972886
fish10,Washout,4,44,3,1.0,-1.023066174,2.284773112
fish10,Washout,4,44,4,1.0,0.147065031,2.500222233
fish10,Washout,4,44,5,0.0,-18.9709733,4.422956796
fish10,Washout,4,44,6,0.980987701,-2.996263783,2.499516334
fish10,Washout,5,45,1,1.0,-2.32225884,2.640258269
fish10,Washout,5,45,2,1.0,-0.567023837,3.683465253
fish10,Washout,5,45,3,0.95417038,-3.526019844,2.315503228
fish10,Washout,5,45,4,0.308485184,10.14906102,4.876779597
fish10,Washout,5,45,5,0.754547272,-5.745219191,2.414343509
fish10,Washout,5,45,6,0.0,-18.67548681,6.641182702
fish10,Washout,6,46,1,0.999756012,3.062963216,2.292925572
fish10,Washout,6,46,2,0.914802704,-3.877967862,2.381176914
fish10,Washout,6,46,3,0.922508392,-3.75333206,2.331204643
fish10,Washout,6,46,4,1.0,-2.656830962,2.509044669
fish10,Washout,6,46,5,0.96169487,-3.264287384,2.437415412
fish10,Washout,6,46,6,0.700683746,-5.981507573,2.326284814
fish10,Washout,7,47,1,0.0,-15.13589012,3.764656508
fish10,Washout,7,47,2,0.890875015,-3.910776831,2.415540569
fish10,Washout,7,47,3,0.079622421,-11.48457961,3.726523291
fish10,Washout,7,47,4,1.0,-1.280488265,2.349272837
fish10,Washout,7,47,5,1.0,0.828699277,2.369136774
fish10,Washout,7,47,6,0.929565582,-3.474150921,2.539052776
fish10,Washout,8,48,1,0.0,15.65028255,6.567743151
fish10,Washout,8,48,2,1.0,0.565816161,2.298738873
fish10,Washout,8,48,3,0.0,-14.58193807,5.793789531
fish10,Washout,8,48,4,0.930185471,3.618432526,2.494892841
fish10,Washout,8,48,5,0.0,31.29689561,9.451634535
fish10,Washout,8,48,6,1.0,-1.997455454,2.600726658
