,fish,stage,day,plotday,y,PlotDay
229,10.0,ReRotation,4.0,54.0,21.046862665,28
230,10.0,ReRotation,5.0,55.0,11.643363205,29
231,10.0,ReRotation,6.0,56.0,10.767538631,30
232,10.0,ReRotation,7.0,57.0,-7.925201544,31
233,10.0,ReRotation,8.0,58.0,9.505004146000001,32
234,10.0,ReRotation,9.0,59.0,3.52511491,33
235,10.0,ReRotation,10.0,60.0,8.675300047,34
236,10.0,ReRotation,11.0,61.0,-4.906301291,35
237,10.0,ReRotation,12.0,62.0,-4.9523260485,36
238,10.0,ReRotation,13.0,63.0,-4.461578736,37
239,10.0,ReRotation,14.0,64.0,-2.1069007405,38
240,10.0,ReRotation,15.0,65.0,-2.495381141,39
241,10.0,ReWashout,1.0,66.0,-7.220500761499999,40
242,10.0,ReWashout,2.0,67.0,-4.9201543135,41
243,10.0,ReWashout,3.0,68.0,-8.202034423,42
244,10.0,ReWashout,4.0,69.0,-13.21197745,43
245,10.0,ReWashout,5.0,70.0,-11.6899870845,44
246,10.0,ReWashout,6.0,71.0,-7.869039246,45
247,10.0,ReWashout,7.0,72.0,-9.599822897,46
248,10.0,ReWashout,8.0,73.0,-10.8058777985,47
249,10.0,ReWashout,9.0,74.0,-11.155483848,48
250,10.0,ReWashout,10.0,75.0,-5.285689994,49
251,12.0,Baseline,1.0,1.0,0.12079993900000008,-25
252,12.0,Baseline,2.0,2.0,2.418456633,-24
253,12.0,Baseline,3.0,3.0,-4.615523522,-23
254,12.0,Baseline,4.0,4.0,-2.5458338255,-22
255,12.0,Baseline,5.0,5.0,13.247690247,-21
256,12.0,Baseline,6.0,6.0,-7.2733022935000005,-20
257,12.0,Baseline,7.0,7.0,23.819696575000002,-19
258,12.0,Baseline,8.0,8.0,9.014630124,-18
259,12.0,Baseline,9.0,9.0,-3.758649498,-17
260,12.0,Baseline,10.0,10.0,2.170187733,-16
261,12.0,Baseline,11.0,11.0,9.1040643515,-15
262,12.0,Baseline,12.0,12.0,-3.4748814329999997,-14
263,12.0,Baseline,13.0,13.0,4.5507726250000005,-13
264,12.0,Baseline,14.0,14.0,-4.883468139,-12
265,12.0,Baseline,15.0,15.0,-2.1472095839999996,-11
266,12.0,Baseline,16.0,16.0,2.4239447575,-10
267,12.0,Baseline,17.0,17.0,-1.7575426840000001,-9
268,12.0,Baseline,18.0,18.0,1.6016097225,-8
269,12.0,Baseline,19.0,19.0,2.6717474625,-7
270,12.0,Baseline,20.0,20.0,9.907282673000001,-6
271,12.0,Baseline,21.0,21.0,-1.6812173985,-5
272,12.0,Baseline,22.0,22.0,-0.922473004,-4
273,12.0,Baseline,23.0,23.0,-8.0372759105,-3
274,12.0,Baseline,24.0,24.0,2.1680738,-2
275,12.0,Baseline,25.0,25.0,-0.196226796,-1
276,12.0,Rotation,1.0,26.0,13.490979197,0
277,12.0,Rotation,2.0,27.0,3.7165741285,1
278,12.0,Rotation,3.0,28.0,-5.6912096965,2
279,12.0,Rotation,4.0,29.0,-0.547899012,3
280,12.0,Rotation,5.0,30.0,2.708149568,4
281,12.0,Rotation,6.0,31.0,1.4992625285,5
282,12.0,Rotation,7.0,32.0,3.8482322470000003,6
283,12.0,Rotation,8.0,33.0,-19.201318625,7
284,12.0,Rotation,9.0,34.0,6.255789546,8
285,12.0,Rotation,10.0,35.0,15.396134565,9
286,12.0,Rotation,11.0,36.0,-2.4375960695,10
287,12.0,Rotation,12.0,37.0,8.232851604,11
288,12.0,Rotation,13.0,38.0,1.440250026,12
289,12.0,Rotation,14.0,39.0,-2.3320029884999998,13
290,12.0,Rotation,15.0,40.0,1.2208172065,14
291,12.0,Washout,1.0,41.0,-4.158449750499999,15
292,12.0,Washout,2.0,42.0,-12.20639932,16
293,12.0,Washout,3.0,43.0,-5.745817961,17
294,12.0,Washout,4.0,44.0,-12.678734375,18
295,12.0,Washout,5.0,45.0,-5.3049179545000005,19
296,12.0,Washout,6.0,46.0,-9.152135802,20
297,12.0,Washout,7.0,47.0,-6.338081982,21
298,12.0,Washout,8.0,48.0,-12.322157180000001,22
299,12.0,Washout,9.0,49.0,-37.750879565,23
300,12.0,Washout,10.0,50.0,-5.6704622019999995,24
301,12.0,ReRotation,1.0,51.0,14.508933205,25
302,12.0,ReRotation,2.0,52.0,16.75791808,26
303,12.0,ReRotation,3.0,53.0,7.0243829915,27
304,12.0,ReRotation,4.0,54.0,-1.4920520659999998,28
305,12.0,ReRotation,5.0,55.0,9.4381327675,29
306,12.0,ReRotation,6.0,56.0,0.5895872154999999,30
307,12.0,ReRotation,7.0,57.0,-1.6430555235,31
308,12.0,ReRotation,8.0,58.0,2.4022253575,32
309,12.0,ReRotation,9.0,59.0,-1.507749306,33
310,12.0,ReRotation,10.0,60.0,-1.4915026905,34
311,12.0,ReRotation,11.0,61.0,-1.7717591259999999,35
312,12.0,ReRotation,12.0,62.0,-1.8828007465,36
313,12.0,ReRotation,13.0,63.0,-1.557426455,37
314,12.0,ReRotation,14.0,64.0,-8.331842837,38
315,12.0,ReRotation,15.0,65.0,-3.7119237094999997,39
316,12.0,ReWashout,1.0,66.0,-14.59943232,40
317,12.0,ReWashout,2.0,67.0,-7.152790202,41
318,12.0,ReWashout,3.0,68.0,-6.3358374495000005,42
319,12.0,ReWashout,4.0,69.0,-4.1955365454999995,43
320,12.0,ReWashout,5.0,70.0,-5.8157702454999995,44
321,12.0,ReWashout,6.0,71.0,-4.7849015025,45
322,12.0,ReWashout,7.0,72.0,-2.397862449,46
323,12.0,ReWashout,8.0,73.0,-3.9491060209999995,47
324,12.0,ReWashout,9.0,74.0,-4.2504536835,48
325,12.0,ReWashout,10.0,75.0,-5.513853489000001,49
326,14.0,Baseline,1.0,1.0,1.6967898665,-17
327,14.0,Baseline,2.0,2.0,-0.326783378,-16
328,14.0,Baseline,3.0,3.0,-19.212109055,-15
329,14.0,Baseline,4.0,4.0,-38.00036989,-14
330,14.0,Baseline,5.0,5.0,-7.1517547005,-13
331,14.0,Baseline,6.0,6.0,-7.903258898000001,-12
332,14.0,Baseline,7.0,7.0,-14.027766105000001,-11
